ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2017,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,550000,School Construction Projects,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,3816.24,Siting Council,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6178236.96,Drinking Water Revenue Bonds,Enterprise,Enterprise
Revenue,2017,Other Revenue,Federal Aid - Miscellaneous,Federal Grants,41800,Institutional Gen Welfare Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,796665.51,RPOM - AVCRAD Utilities,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3000,Fire Prevention,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,2130,Larkin Bridle Trail,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,32000,Motorcyclist Safety Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,665043.19,Healthy Start Initiative-Elimi,Special Revenue,Special Revenue
Revenue,2017,Taxes,Franchise Tax,Corporations,11482,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,-2700000,CDBG-DR-Infrastructure-Sandy,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,131058.25,CMHC Wellness Center,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Stats Info-Consumer Cred,Licenses Permits and Fees,320.5,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Prof Srvc Ren License/Class F,Licenses Permits and Fees,928376,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,5022373.28,School Improvement Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Recording Fees,Licenses Permits and Fees,819657,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,473347.91,Fire School Auxiliary Services,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,2827824,Chapt 1 Asst Ed Disadv Childrn,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,905.68,Drug Asset Forfeit-DOJ,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,60162,State Small Business Credit In,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,9733435.64,School Basd Child Health Srvcs,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1314257,Indian Gaming-Mashantucket,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Examination Fees-Telephone,Licenses Permits and Fees,3000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Laboratory Licensure,Licenses Permits and Fees,146600,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Broker/Dealer-Firm Renewal,Licenses Permits and Fees,380,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,220439.75,ICAC GRANT,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Filing-Bus/Industry Dev,Licenses Permits and Fees,15230.76,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,12399.5,Fish & Wildlife Coord & Assist,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1324322.1,Historic Document Preservation,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6000,To Prevent Disease  Disability,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,243501,Facilities Surplus Property,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,133674.2,SpecContamProprtyRemedInsFund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,260574,Safe Schools Healthy Students,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Exam-Architects,Licenses Permits and Fees,96420,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Milk Production License,Licenses Permits and Fees,2960,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,78712584,Sch Constr Add & Renovations,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1250,Fire Safety Standard Act,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,910,Fort Trumbull MU-MRI,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Exam Fees-Public Util-Gen,Licenses Permits and Fees,-35,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,459957.95,Agency Fund Cap Proj Adm DPW,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Court Fees,Licenses Permits and Fees,-81000,Conversion Value,Transportation,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,9615,AAAC Annual Classic Awards,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,31610123.97,FEMA Public Assistance,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Exam-Motor Veh Operators,Licenses Permits and Fees,5759450,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,67468,Predators of  Woolly Adelgid,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Jury Fees,Licenses Permits and Fees,5140,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,138849,Summer Food Sponsor Admin,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Witness Fees,Licenses Permits and Fees,119,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,395000,Kellogg Conservation Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,38.5,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,40000,CRMVS Criminal Disposition Mod,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,110720.73,VR Innovation And Expansion,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Tech and Skilled,Licenses Permits and Fees,620570.22,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3935979.92,Historic Preserv- Sandy Relief,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Retail Gasoline Dealer License,Licenses Permits and Fees,540729,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1434067,SSBG Substance Abuse Srvcs,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,17584,SSBG Prevntn & Intervention,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,6163.97,STAG Project Administration Gr,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,13026.11,Landowner Incentive Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,339617.99,Comm Challenge Planning Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Private Donations,Federal Grants,129.17,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1647440,STIF Administration Expenses,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,45344,Chronic Disease SMP,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,2775000,MIF Apprenticeship Initiative,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,34008.03,Elongated Hemlock Scale Contro,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,7250000,Birth to Three - MOA,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Licenses-MV Dealers/Repairers,Licenses Permits and Fees,1428820,Revenue Deposits,Transportation,Special Revenue
Revenue,2014,Other Revenue,Professional Srvcs Licensure,Licenses Permits and Fees,17363888.58,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,120,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,125000,Land Preservation & Protection,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Analysis of Fertilizers,Licenses Permits and Fees,283332.73,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Dog Licenses,Licenses Permits and Fees,1512075.73,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Fee-Birth/Marriage/Death Cert,Licenses Permits and Fees,2568239.05,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,5443.5,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Broker/Dealer Past Due Fees,Licenses Permits and Fees,11760,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,142476.5,Refugee Targeted Assistance,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,227229.29,Non-DNA Program,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,220691.68,HCFAC,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Training Certificate Fees,Licenses Permits and Fees,77885,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,207200,SSBG Indpnd & Trans Living,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Copies/Banking Cert-Gen,Licenses Permits and Fees,4,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,907752,SSBG Family Planning Services,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,553378.77,Personal Responsibility Educat,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,72481.59,Child Nutrition Meal Pattern T,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Fines and Costs-Departments,Rents Fines and Escheats,5237913.47,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,100000,GAL Case Mgmt. Services,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-583.6,Technical School Lunches,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1293373.05,SPC Hartford TRA:Cons.,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1988985.56,Violence Against Women 2003,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Milk Production License,Licenses Permits and Fees,3240,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,23929057.77,School Breakfast,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,600,Senior Farmers Market Nutritn,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,53989,Control of Lyme Borreliosis,Special Revenue,Special Revenue
Revenue,2016,Other Source,Budgeted Transfers In,Transfers In,6500000,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,10000,NASDDDS,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,5000,Risk Management,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,70000,Econ Asstnc Rvolvg Loan Fd Adm,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,56240,DESPP - NEDTC,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Certificate/Copies,Licenses Permits and Fees,1501206.17,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,501712,MST_Quality_Assurance,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,78599.75,Dam Safety Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Oyster Grounds,Rents Fines and Escheats,740916.91,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Fees-Filing-Merger of Bank,Licenses Permits and Fees,5000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,590558.77,Wildlife Outreach,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,265674,Child Abuse & Neglect Part 1,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,988060.5,Senior Community Srv Employmnt,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,23467.13,National Organic Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Licenses-Exhbt/Op Shows,Licenses Permits and Fees,4545,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non Marketable Share Sales,Rents Fines and Escheats,272.54,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Farms  Land and Buildings,Rents Fines and Escheats,5009085.21,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Laboratory Fees,Licenses Permits and Fees,181095,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Docks and Wharves,Rents Fines and Escheats,165189.1,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2012,Other Revenue,Reg-Interstate Land Sales,Licenses Permits and Fees,134234.5,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Fees-Deposit-Domestic Ins Co,Licenses Permits and Fees,42210,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Cont Educ-Real Estate,Licenses Permits and Fees,5599.7,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,7250000,Birth to Three - MOA (State),Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,600000,Trauma Foc Cogn Behavl Therapy,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Fees-Filing-Relocation/Branch,Licenses Permits and Fees,500,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,ARRA-Fed BABS Interest Subsidy,Federal Grants,12167739.46,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Health Club Licenses,Licenses Permits and Fees,7295.65,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2013,Other Revenue,Broker/Salesmen Fees-General,Licenses Permits and Fees,41280.01,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,9461.94,National Plant Diagnostic Netw,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,55000,Second Injury,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Rents-Halls/Rooms,Rents Fines and Escheats,2700,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,227952.22,Occupant Protection,Special Revenue,Special Revenue
